also,"[1559.233790090999, 'RB']"
still,"[862.9907514650017, 'RB']"
well,"[700.2793528330013, 'RB']"
realli,"[617.7955350500004, 'RB']"
howev,"[523.8298957559999, 'RB']"
forward,"[502.5968295489994, 'RB']"
ahead,"[487.6129765100001, 'RB']"
alreadi,"[461.1119579809997, 'RB']"
now,"[429.289448759, 'RB']"
much,"[421.6472700160001, 'RB']"
even,"[408.5704129420002, 'RB']"
so,"[373.23830631400006, 'RB']"
earlier,"[359.3600967619998, 'RBR']"
recent,"[321.62478204399974, 'RB']"
signific,"[309.8723130280002, 'RB']"
probabl,"[305.8537606339998, 'RB']"
here,"[281.10672910599993, 'RB']"
almost,"[274.93969519100017, 'RB']"
approxim,"[263.99971721900033, 'RB']"
current,"[260.99374813300005, 'RB']"
pretti,"[257.4872683169997, 'RB']"
actual,"[256.3078729619997, 'RB']"
rather,"[237.07963916199998, 'RB']"
mayb,"[235.94471896699977, 'RB']"
obvious,"[228.3898937999999, 'RB']"
yet,"[225.06113282599992, 'RB']"
near,"[221.16466853599977, 'RB']"
back,"[212.46822892099988, 'RB']"
later,"[195.87077339599992, 'RB']"
far,"[194.356283535, 'RB']"
previous,"[191.37974586799996, 'RB']"
alway,"[179.62405999199999, 'RB']"
alon,"[178.21582061700005, 'RB']"
clear,"[173.250782943, 'RB']"
first,"[172.6832934339999, 'RB']"
newli,"[172.25644698899995, 'RB']"
around,"[161.86464390600003, 'RB']"
sequenti,"[153.95626645500002, 'RB']"
month,"[152.91344434, 'RB']"
quit,"[152.71413891999998, 'RB']"
like,"[146.162691976, 'RB']"
essenti,"[143.047553202, 'RB']"
main,"[142.60312550600003, 'RB']"
faster,"[142.27630872300003, 'RBR']"
primarili,"[140.57084669599985, 'RB']"
certain,"[126.78372723600006, 'RB']"
higher,"[125.41499851400003, 'RBR']"
sometim,"[124.72308075400001, 'RB']"
better,"[116.046018855, 'RBR']"
twice,"[115.01531347700002, 'RB']"
extrem,"[112.31560098699998, 'RB']"
less,"[111.29716331200004, 'RBR']"
high,"[110.26210917400003, 'RB']"
final,"[105.97632332299999, 'RB']"
abroad,"[103.48921109800001, 'RB']"
often,"[101.79634118100003, 'RB']"
notabl,"[100.82356673300002, 'RB']"
close,"[99.30137951600004, 'RB']"
potenti,"[98.71610783199999, 'RB']"
late,"[98.253164434, 'RB']"
eventu,"[97.65505756400002, 'RB']"
fulli,"[96.22706125000002, 'RB']"
relat,"[94.51915493699998, 'RB']"
togeth,"[93.955222074, 'RB']"
especi,"[93.30471953700001, 'RB']"
possibl,"[88.335362353, 'RB']"
specif,"[86.88300547900003, 'RB']"
enough,"[86.08161568800004, 'RB']"
away,"[84.88958283700003, 'RB']"
rough,"[84.052529673, 'RB']"
ever,"[81.510500871, 'RB']"
slight,"[80.98673515600001, 'RB']"
basic,"[76.442319744, 'RB']"
global,"[73.39252675300001, 'RB']"
long,"[72.27624326700001, 'RB']"
quick,"[70.21090720600003, 'RB']"
direct,"[69.06242069500007, 'RB']"
either,"[68.114365418, 'RB']"
effect,"[67.428624712, 'RB']"
up,"[67.400545381, 'RP']"
anywher,"[66.452344019, 'RB']"
usual,"[66.197478747, 'RB']"
aggress,"[64.30420423000001, 'RB']"
addit,"[63.97338083500002, 'RB']"
substanti,"[63.889851320000005, 'RB']"
earli,"[63.060848505, 'RB']"
intern,"[61.88943069400001, 'RB']"
prior,"[61.00617173900001, 'RB']"
moreov,"[60.684251029999956, 'RB']"
materi,"[59.08531385100001, 'RB']"
nice,"[58.87307839399999, 'RB']"
constant,"[58.576329389, 'RB']"
exact,"[58.539889155, 'RB']"
larg,"[58.43147738299999, 'RB']"
littl,"[55.382658818, 'RB']"
upsid,"[54.9270652, 'RB']"
presum,"[51.89246025, 'RB']"
dramat,"[51.281810176, 'RB']"
best,"[48.98385797, 'RBS']"
hope,"[48.54353929, 'RB']"
eager,"[47.945360857999994, 'RB']"
broad,"[46.717633092999996, 'RB']"
origin,"[45.286840681, 'RB']"
negat,"[44.745236182000006, 'RB']"
second,"[44.342624551, 'RB']"
accur,"[43.182064497, 'RB']"
seem,"[43.0167565, 'RB']"
continu,"[42.885860173, 'RB']"
import,"[42.289442527999995, 'RB']"
annual,"[41.58638456599999, 'RB']"
correct,"[40.553245406, 'RB']"
safe,"[40.530974913, 'RB']"
increment,"[39.763233116, 'RB']"
last,"[39.031986354, 'RB']"
perhap,"[38.814842287000005, 'RB']"
oversea,"[38.339465391000005, 'RB']"
