expect,"[1521.0048695479993, 'VBG']"
includ,"[1470.2951283640027, 'VBG']"
continu,"[1408.0558989699982, 'VBG']"
report,"[1221.4070714289974, 'VBD']"
go,"[1144.0665404539939, 'VB']"
said,"[1138.377714929998, 'VBD']"
think,"[991.5946250160026, 'VBZ']"
make,"[976.4214933000012, 'VBZ']"
compar,"[943.9917760590006, 'VBN']"
increas,"[922.4622499910025, 'VBD']"
base,"[851.2380813990014, 'VBN']"
help,"[846.3198122420006, 'VB']"
remain,"[789.7875568820002, 'VB']"
oper,"[778.4815348370003, 'VBG']"
take,"[772.2170204880006, 'VBZ']"
provid,"[701.3249939019997, 'VBN']"
look,"[675.181206425001, 'VBG']"
grew,"[670.6754155090013, 'VBD']"
follow,"[667.0106811510001, 'VBG']"
jump,"[644.4817438120006, 'VBN']"
get,"[640.9189362540003, 'VB']"
see,"[635.4920710080013, 'VBP']"
give,"[633.5107582689998, 'VB']"
believ,"[628.5296026389996, 'VBD']"
know,"[599.6384705439993, 'VBZ']"
improv,"[583.9866573310001, 'VBN']"
come,"[581.7225865439991, 'VBZ']"
grow,"[548.2013460359999, 'VB']"
deliv,"[546.8982335769998, 'VBG']"
drive,"[512.2520777740001, 'VBG']"
end,"[509.47825427199984, 'VBZ']"
work,"[499.3868257429999, 'VBG']"
mention,"[495.52285998599996, 'VB']"
invest,"[487.82123159799977, 'VBG']"
launch,"[485.1401812930003, 'VBN']"
beat,"[483.818683993, 'VBG']"
ad,"[470.3030120929998, 'VBD']"
show,"[461.481739154, 'VBP']"
adjust,"[451.7755276309995, 'VBN']"
mean,"[434.74574559999985, 'VBZ']"
driven,"[432.6621449360001, 'VBN']"
want,"[429.5934059269996, 'VBP']"
talk,"[422.773965871, 'VB']"
seem,"[418.54133999500016, 'VBP']"
exclud,"[417.11829059699966, 'VBG']"
close,"[405.56942607400026, 'VBD']"
hail,"[397.970625001, 'VB']"
repres,"[381.38717680900027, 'VBZ']"
record,"[372.24412515800043, 'VBG']"
merg,"[364.98726272100004, 'VB']"
reach,"[361.239317635, 'VBD']"
climb,"[356.07152068700015, 'VBG']"
is,"[349.61888557199984, 'VBZ']"
tri,"[344.09580389999996, 'VBG']"
soar,"[342.34932249099995, 'VB']"
feel,"[333.1381388650001, 'VBZ']"
combin,"[328.68158173399985, 'VBN']"
rose,"[326.2293641149995, 'VBD']"
use,"[325.6149345609996, 'VB']"
turn,"[324.2599365699997, 'VBD']"
reflect,"[319.1264961909999, 'VBZ']"
let,"[318.7102759510001, 'VB']"
led,"[317.48217976999985, 'VBN']"
gain,"[314.37407061299996, 'VBN']"
accord,"[312.7954996469997, 'VBG']"
note,"[309.06978336099996, 'VB']"
made,"[305.45473924099997, 'VBD']"
lead,"[305.14824222099986, 'VBG']"
say,"[305.11765354499937, 'VBZ']"
relat,"[300.7439363239992, 'VBN']"
suggest,"[298.47146882799984, 'VBP']"
consid,"[296.2063625360001, 'VB']"
build,"[294.9662100090001, 'VB']"
assum,"[292.4349833010001, 'VBG']"
indic,"[292.3115367139999, 'VBP']"
allow,"[291.6689580479999, 'VBD']"
becom,"[289.77225363599996, 'VBN']"
stream,"[287.0763816399999, 'VBG']"
add,"[282.240400025, 'VB']"
open,"[281.92893711299996, 'VBN']"
bring,"[279.7945793340001, 'VBG']"
surg,"[277.93815334400006, 'VBD']"
rise,"[277.06468951599993, 'VBP']"
predict,"[274.180334583, 'VBG']"
lost,"[266.49053567500005, 'VBN']"
expand,"[257.04049011599994, 'VB']"
chang,"[251.40572073100003, 'VBD']"
roll,"[250.60274094399998, 'VBN']"
plan,"[248.80183052599995, 'VBP']"
saw,"[246.03303819399986, 'VBD']"
offer,"[243.2580788279996, 'VBG']"
receiv,"[241.77430228399993, 'VBN']"
releas,"[240.13558195000002, 'VBN']"
came,"[233.5674931439999, 'VBD']"
wrote,"[233.38259908299992, 'VBD']"
share,"[233.243321307, 'VBD']"
happen,"[228.69672931799985, 'VBD']"
excit,"[225.814600701, 'VBN']"
move,"[220.66067354799986, 'VBG']"
focus,"[216.72993068600007, 'VB']"
play,"[216.39100668500004, 'VBN']"
top,"[216.31709208900003, 'VBG']"
valu,"[215.344165162, 'VBN']"
stock,"[215.324489248, 'VBZ']"
appear,"[214.612433948, 'VBD']"
keep,"[214.48126464200016, 'VB']"
result,"[213.87190850299993, 'VB']"
attract,"[207.527691438, 'VB']"
creat,"[204.53096561899997, 'VB']"
put,"[203.79202014999981, 'VB']"
start,"[197.390647308, 'VB']"
learn,"[196.93788790899995, 'VB']"
declin,"[195.87610678800007, 'VBD']"
benefit,"[195.39042963499983, 'VB']"
run,"[194.83451211899998, 'VBZ']"
cover,"[189.04970327499993, 'VB']"
join,"[185.83101852499993, 'VB']"
write,"[182.047078073, 'VBG']"
call,"[181.29772120499996, 'VB']"
agre,"[179.52119344100004, 'VBD']"
watch,"[178.406930574, 'VBG']"
pleas,"[178.33081490999987, 'VBN']"
face,"[177.992251178, 'VBG']"
develop,"[171.74343045699985, 'VBD']"
push,"[170.79752111099998, 'VB']"
win,"[170.72214709600001, 'VB']"
account,"[170.26426034600004, 'VBG']"
given,"[169.55361396599992, 'VBN']"
discuss,"[168.98965427799993, 'VBZ']"
pick,"[167.54015204000004, 'VBD']"
seen,"[164.99700180099995, 'VBN']"
got,"[164.08485677299996, 'VBD']"
confirm,"[162.539474785, 'VBD']"
establish,"[162.32110361900007, 'VB']"
yandex,"[157.897145947, 'VB']"
constitut,"[156.40751729999997, 'VBP']"
exist,"[154.92606387799992, 'VBG']"
present,"[152.206234976, 'VB']"
need,"[151.63530682000004, 'VBP']"
boost,"[150.43980830700005, 'VB']"
serv,"[149.409655844, 'VB']"
point,"[149.263755986, 'VBN']"
advanc,"[148.73898355199998, 'VBD']"
generat,"[143.6972582359999, 'VBZ']"
extend,"[143.46738812599995, 'VBN']"
process,"[143.38056753899988, 'VBZ']"
manag,"[141.683174818, 'VBZ']"
taken,"[140.3641337, 'VBN']"
stand,"[140.14253416600002, 'VBZ']"
treat,"[137.45607676099993, 'VB']"
estim,"[136.7881492200001, 'VBN']"
regard,"[135.17717127400002, 'VBG']"
pop,"[134.09034225, 'VBG']"
enabl,"[134.017182261, 'VB']"
seek,"[133.14983607300005, 'VB']"
ride,"[131.215187573, 'VBG']"
identifi,"[130.94287114100007, 'VBN']"
refer,"[129.11607584799998, 'VBP']"
acquir,"[128.62640255400004, 'VB']"
demonstr,"[127.85007641699998, 'VBN']"
step,"[127.608605663, 'VBP']"
stay,"[127.51120307200001, 'VB']"
express,"[127.49580211200002, 'VB']"
hold,"[126.0976102860001, 'VBG']"
struggl,"[125.61217258900001, 'VBG']"
hit,"[123.86428040100007, 'VB']"
narrow,"[122.065586193, 'VBG']"
acceler,"[120.54493758300002, 'VBP']"
enhanc,"[119.73252550400001, 'VBG']"
reveal,"[117.51525827899998, 'VBZ']"
form,"[116.46801840900004, 'VBN']"
scale,"[114.60868188200001, 'VBG']"
enjoy,"[114.27929017, 'VBN']"
revis,"[114.235570449, 'VBD']"
approv,"[113.05438030300004, 'VBD']"
spend,"[111.25669727900012, 'VBG']"
embed,"[110.704768588, 'VBD']"
doubl,"[110.61301060700004, 'VBD']"
goe,"[110.398946591, 'VBZ']"
averag,"[110.06999096399998, 'VBP']"
prep,"[110.01156971999998, 'VBP']"
surpris,"[109.29530122800003, 'VBD']"
proceed,"[109.23012735500005, 'VB']"
brought,"[108.56928079600003, 'VBN']"
complet,"[107.68244748999993, 'VBN']"
understand,"[107.61952603600002, 'VBZ']"
conduct,"[107.104548565, 'VB']"
retain,"[107.04238967100001, 'VBG']"
limit,"[106.20597012800003, 'VBN']"
draw,"[105.35699181899999, 'VB']"
set,"[104.96428885000003, 'VB']"
thank,"[104.31423680000002, 'VB']"
determin,"[103.66562346800002, 'VB']"
count,"[103.16627593199999, 'VBG']"
evalu,"[102.923614365, 'VB']"
decreas,"[102.24575813199999, 'VBN']"
