new,"[2065.8971821380032, 'JJ']"
first,"[1877.7760039250002, 'JJ']"
last,"[1368.8107819020026, 'JJ']"
strong,"[1046.6524546810003, 'JJ']"
second,"[946.7877812229995, 'JJ']"
high,"[885.3160546630015, 'JJ']"
full,"[835.7181859329996, 'JJ']"
next,"[805.1084621309996, 'JJ']"
much,"[717.8737147429997, 'JJ']"
better,"[680.7844359040005, 'JJR']"
net,"[678.3885882190004, 'JJ']"
good,"[663.5455374499999, 'JJ']"
higher,"[579.8460766149999, 'JJR']"
earli,"[570.924702741, 'JJ']"
short,"[570.806769230001, 'JJ']"
financi,"[532.2428182470001, 'JJ']"
abl,"[517.6745920890002, 'JJ']"
best,"[499.55838060199994, 'JJS']"
recent,"[491.1601667789996, 'JJ']"
russian,"[485.1826080679999, 'JJ']"
due,"[476.59236713599995, 'JJ']"
current,"[469.6318187619996, 'JJ']"
long,"[442.9364592080002, 'JJ']"
low,"[416.0979812569999, 'JJ']"
past,"[405.5605085559996, 'JJ']"
key,"[403.97824475199974, 'JJ']"
signific,"[399.1781958050001, 'JJ']"
big,"[393.3181734980002, 'JJ']"
posit,"[376.7253521570004, 'JJ']"
activ,"[374.9948863669997, 'JJ']"
major,"[350.9791087830002, 'JJ']"
prior,"[348.159477777, 'JJ']"
adjust,"[343.34643763199915, 'JJ']"
import,"[335.6917545020001, 'JJ']"
quarter,"[331.19106286299996, 'JJ']"
avail,"[326.83867915699955, 'JJ']"
littl,"[316.4793294589999, 'JJ']"
chief,"[313.3893508709999, 'JJ']"
like,"[297.2832057750003, 'JJ']"
intern,"[292.11811175399987, 'JJ']"
sever,"[284.15348083499987, 'JJ']"
bullish,"[283.93372008399996, 'JJ']"
month,"[281.89246164299993, 'JJ']"
top,"[268.7124008859998, 'JJ']"
intermedi,"[268.62848804699996, 'JJ']"
live,"[265.743316798, 'JJ']"
lower,"[261.4573176879995, 'JJR']"
unlimit,"[257.18393345000004, 'JJ']"
potenti,"[250.87666815200004, 'JJ']"
user,"[250.82683207499997, 'JJ']"
certain,"[250.1169691480001, 'JJ']"
digit,"[248.50085524699972, 'JJ']"
total,"[245.28320218299945, 'JJ']"
overal,"[243.89717214900006, 'JJ']"
clinic,"[240.59362107299978, 'JJ']"
latest,"[237.66388639499976, 'JJS']"
public,"[233.934083425, 'JJ']"
actual,"[233.68570006099992, 'JJ']"
initi,"[233.09115221399992, 'JJ']"
non,"[232.66367601999949, 'JJ']"
global,"[228.5174530549998, 'JJ']"
narrow,"[223.57511686, 'JJ']"
continu,"[222.96060933599992, 'JJ']"
real,"[222.13177171599997, 'JJ']"
highest,"[221.854574244, 'JJS']"
small,"[221.03299919499992, 'JJ']"
competit,"[220.9005468889999, 'JJ']"
late,"[215.69332264499997, 'JJ']"
joint,"[212.79226965200002, 'JJ']"
aortic,"[210.93348618799993, 'JJ']"
singl,"[210.1137278759999, 'JJ']"
profit,"[204.11913504600005, 'JJ']"
percent,"[201.92012941699994, 'JJ']"
similar,"[201.80760488900003, 'JJ']"
chines,"[201.77087287900005, 'JJ']"
differ,"[201.30325266899985, 'JJ']"
doubl,"[198.67026372699993, 'JJ']"
mani,"[197.7332809720001, 'JJ']"
local,"[196.90946321400003, 'JJ']"
metric,"[196.44907009799994, 'JJ']"
under,"[196.01800289399998, 'JJ']"
mitral,"[194.43556837099982, 'JJ']"
possibl,"[191.04288329499994, 'JJ']"
foreign,"[190.85277298899985, 'JJ']"
stronger,"[183.37112971199997, 'JJR']"
sure,"[179.99706153299974, 'JJ']"
annual,"[179.36772254599998, 'JJ']"
consist,"[175.80240613799995, 'JJ']"
econom,"[166.2140850339999, 'JJ']"
true,"[164.98015141200003, 'JJ']"
futur,"[163.8301295019999, 'JJ']"
whole,"[162.5970934579999, 'JJ']"
less,"[161.76806041300006, 'JJR']"
surgic,"[159.01721841199998, 'JJ']"
largest,"[158.93029326000004, 'JJS']"
conserv,"[157.01189211799996, 'JJ']"
free,"[156.33591839300007, 'JJ']"
prepar,"[155.76923724699992, 'JJ']"
specif,"[155.158980369, 'JJ']"
meaning,"[155.004398611, 'JJ']"
encourag,"[154.75401505099998, 'JJ']"
close,"[153.35291786099987, 'JJ']"
consolid,"[151.31929441599996, 'JJ']"
optimist,"[145.91555270099997, 'JJ']"
effect,"[145.83767510999996, 'JJ']"
constant,"[145.66388107599994, 'JJ']"
least,"[144.66005315499999, 'JJS']"
pre,"[143.60038845399998, 'JJ']"
social,"[142.92569688300003, 'JJ']"
sustain,"[142.351066378, 'JJ']"
autonom,"[142.14563755500012, 'JJ']"
flat,"[138.70466318099994, 'JJ']"
right,"[136.746292881, 'JJ']"
popular,"[136.699218357, 'JJ']"
general,"[136.348729532, 'JJ']"
consecut,"[136.287862401, 'JJ']"
broad,"[134.851021757, 'JJ']"
accur,"[134.69010534900002, 'JJ']"
stabl,"[134.002150714, 'JJ']"
daili,"[133.252099335, 'JJ']"
except,"[133.05396354700002, 'JJ']"
follow,"[131.481875296, 'JJ']"
smaller,"[130.920818993, 'JJR']"
difficult,"[129.40983752200003, 'JJ']"
solid,"[127.05685472200003, 'JJ']"
main,"[126.62877962800003, 'JJ']"
domest,"[126.46808409300003, 'JJ']"
increas,"[126.13516130200001, 'JJ']"
addit,"[124.06664042799987, 'JJ']"
great,"[123.584871814, 'JJ']"
organ,"[123.48286601700002, 'JJ']"
tough,"[122.40427896599999, 'JJ']"
convert,"[119.70160026200001, 'JJ']"
near,"[118.98428865200003, 'JJ']"
robust,"[118.824259226, 'JJ']"
european,"[117.66676748499998, 'JJ']"
earlier,"[117.30953093300002, 'JJR']"
confid,"[117.061467232, 'JJ']"
impress,"[114.16987149500004, 'JJ']"
success,"[113.38922602200002, 'JJ']"
content,"[113.194578476, 'JJ']"
faster,"[111.89448409, 'JJR']"
portal,"[110.48191876299998, 'JJ']"
attract,"[110.222590607, 'JJ']"
previous,"[109.85474826199999, 'JJ']"
independ,"[109.76625323000002, 'JJ']"
easier,"[109.519005109, 'JJR']"
fundament,"[108.34026926400003, 'JJ']"
oper,"[105.95413198200005, 'JJ']"
beat,"[105.43140471000002, 'JJ']"
interest,"[105.24061079900004, 'JJ']"
closer,"[105.21902714900003, 'JJR']"
year,"[104.46516489099999, 'JJ']"
princip,"[102.26434912600001, 'JJ']"
quick,"[102.183374391, 'JJ']"
tradit,"[99.31198711999997, 'JJ']"
minimum,"[99.215379445, 'JJ']"
cost,"[99.15579358800001, 'JJ']"
indiscern,"[99.13187955999997, 'JJ']"
valuabl,"[98.52648452700001, 'JJ']"
deep,"[97.76797549900002, 'JJ']"
sharp,"[95.140404252, 'JJ']"
upbeat,"[94.66215564, 'JJ']"
massiv,"[94.36437901800004, 'JJ']"
patient,"[93.99826414, 'JJ']"
expect,"[93.47869184699998, 'JJ']"
natur,"[92.81811266400003, 'JJ']"
particular,"[91.38899543399998, 'JJ']"
increment,"[91.350567329, 'JJ']"
compar,"[90.45839573200001, 'JJ']"
combin,"[89.8155173, 'JJ']"
former,"[88.90039689100003, 'JJ']"
intellectu,"[88.325692306, 'JJ']"
upcom,"[87.75238989, 'JJ']"
tricuspid,"[87.52788390600006, 'JJ']"
regulatori,"[87.28280416600006, 'JJ']"
onlin,"[86.66195863000002, 'JJ']"
report,"[85.95994603900002, 'JJ']"
unusu,"[85.936436148, 'JJ']"
bottom,"[85.84101256700002, 'JJ']"
cautious,"[84.048389241, 'JJ']"
clear,"[83.56741841800003, 'JJ']"
longer,"[83.39952274400002, 'JJR']"
corpor,"[82.56577972599999, 'JJ']"
superior,"[82.452930892, 'JJ']"
greater,"[81.99690816100002, 'JJR']"
averag,"[81.6641820610001, 'JJ']"
larger,"[80.65812825300003, 'JJR']"
subscrib,"[79.50424904999998, 'JJ']"
electr,"[79.46907021200003, 'JJ']"
negat,"[79.37697726100002, 'JJ']"
open,"[78.84422455100001, 'JJ']"
dual,"[78.766872886, 'JJ']"
person,"[78.48373752900004, 'JJ']"
uphil,"[77.79456192, 'JJ']"
cheap,"[77.56018709000004, 'JJ']"
ongo,"[77.229968448, 'JJ']"
subject,"[77.22400466300003, 'JJ']"
biggest,"[76.426717127, 'JJS']"
serious,"[76.219229868, 'JJ']"
outstand,"[76.18743962100002, 'JJ']"
curious,"[75.78302273300001, 'JJ']"
young,"[74.50696347499999, 'JJ']"
innov,"[74.46265271500002, 'JJ']"
rapid,"[73.93426245699999, 'JJ']"
excit,"[73.05776067800001, 'JJ']"
intraday,"[72.69880529100001, 'JJ']"
favor,"[72.35754120700001, 'JJ']"
complet,"[72.14307029500003, 'JJ']"
weak,"[72.05384778800003, 'JJ']"
updat,"[71.760125867, 'JJ']"
retail,"[71.72857583599998, 'JJ']"
worth,"[70.62755631699999, 'JJ']"
uniqu,"[70.11520505100002, 'JJ']"
shorter,"[70.00611494500001, 'JJR']"
expens,"[69.82066965400003, 'JJ']"
integr,"[68.43276004600001, 'JJ']"
fastest,"[68.13791765200001, 'JJS']"
fresh,"[68.13295176, 'JJ']"
semi,"[66.94458265799997, 'JJ']"
video,"[66.742252505, 'JJ']"
other,"[66.631050603, 'JJ']"
worldwid,"[65.87677997000002, 'JJ']"
limit,"[65.489072397, 'JJ']"
senior,"[65.348007113, 'JJ']"
separ,"[64.750640665, 'JJ']"
primari,"[64.41274337800002, 'JJ']"
fair,"[64.37244561100005, 'JJ']"
mid,"[63.607441623000014, 'JJ']"
excel,"[62.92362660000002, 'JJ']"
happi,"[62.347998104, 'JJ']"
equal,"[62.114604563, 'JJ']"
neural,"[62.009587936, 'JJ']"
cardiac,"[61.940991897, 'JJ']"
scale,"[61.77761032900001, 'JJ']"
nation,"[61.769421572, 'JJ']"
various,"[61.64569604300002, 'JJ']"
stun,"[61.295849032999996, 'JJ']"
rival,"[61.07427438799998, 'JJ']"
transcathet,"[60.74019030800003, 'JJ']"
